Sea To Summit Trek TkIII (Regular), $289.00, 1220 gm 43.0 oz 2.69 lb, 12 F-11 C, 650 Down, 60", , ?" x ?", Regular: Fits up to 6'
Sea To Summit Trek TkIII (Long), $299.00, 1310 gm 46.2 oz 2.89 lb, 12 F-11 C, 650 Down, 61", , ?" x ?", Long: Fits up to 6'8"
Sierra Designs DriDown BTU -20 (Regular), $699.95, 1758 gm 62.0 oz 3.88 lb, -20 F-29 C, 800 Down, 64", , 20" x 10", Regular: Fits up to 6'
Sierra Designs DriDown BTU -20 (Long), $719.95, 1843 gm 65.0 oz 4.06 lb, -20 F-29 C, 800 Down, 66", , 20" x 10", Long: Fits up to 6'6"
Sierra Designs DriDown BTU -5 (Regular), $599.95, 1673 gm 59.0 oz 3.69 lb, -5 F-21 C, 800 Down, 64", , 19" x 9", Regular: Fits up to 6'
Sierra Designs DriDown BTU -5 (Long), $619.95, 1786 gm 63.0 oz 3.94 lb, -5 F-21 C, 800 Down, 66", , 19" x 9", Long: Fits up to 6'6"
Sierra Designs DriDown Cal 6 (Regular), $599.95, 1049 gm 37.0 oz 2.31 lb, 0 F-18 C, 800 Down, 62", , 15" x 9", Regular: Fits up to 6'
Sierra Designs DriDown Cal 6 (Long), $619.95, 1134 gm 40.0 oz 2.50 lb, 0 F-18 C, 800 Down, 64", , 15" x 9", Long: Fits up to 6'6"
Sierra Designs DriDown Zissou 6 (Regular), $319.95, 1389 gm 49.0 oz 3.06 lb, 6 F-14 C, 700 Down, 62", , 17" x 9", Regular: Fits up to 6'
Sierra Designs DriDown Zissou 6 (Long), $339.95, 1474 gm 52.0 oz 3.25 lb, 6 F-14 C, 700 Down, 64", , 17" x 9", Long: Fits up to 6'6"
Sierra Designs DriDown Zissou 12 (Regular), $269.95, 1106 gm 39.0 oz 2.44 lb, 12 F-11 C, 700 Down, 62", , 16" x 8", Regular: Fits up to 6'
Sierra Designs DriDown Zissou 12 (Long), $289.95, 1191 gm 42.0 oz 2.63 lb, 12 F-11 C, 700 Down, 64", , 16" x 8", Long: Fits up to 6'6"
