Therm-a-Rest ProLite - Small, $79.95, 312 gm11.0 oz0.69 lb, R 2.2, 47" L20" W1" D, 11" x 3.3", Self Inflating Foam
Therm-a-Rest ProLite - Regular, $99.95, 454 gm16.0 oz1.00 lb, R 2.2, 72" L20" W1" D, 11" x 4.1", Self Inflating Foam
Therm-a-Rest ProLite - Large, $119.95, 624 gm22.0 oz1.38 lb, R 2.2, 77" L25" W1" D, 13" x 4.5", Self Inflating Foam
Therm-a-Rest Women's ProLite, $99.95, 454 gm16.0 oz1.00 lb, R 2.8, 66" L20" W1" D, 11" x 4.1", Self Inflating Foam
Therm-a-Rest Z Lite - Regular, $39.95, 397 gm14.0 oz0.88 lb, R 2.2, 72" L20" W.75" D, 20" x 5.5", Closed Cell Foam
Therm-a-Rest Z Lite - Small, $29.95, 283 gm10.0 oz0.63 lb, R 2.2, 51" L20" W.75" D, 20" x 5.5", Closed Cell Foam
Therm-a-Rest Z Lite SOL - Small, $34.95, 283 gm10.0 oz0.63 lb, R 2.6, 51" L20" W.75" D, 20" x 5.5", Closed Cell Foam
Therm-a-Rest Z Lite SOL - Regular, $44.95, 397 gm14.0 oz0.88 lb, R 2.6, 72" L20" W.75" D, 20" x 5.5", Closed Cell Foam
Therm-a-Rest NeoAir All Season - Medium, $139.95, 510 gm18.0 oz1.13 lb, R 4.9, 66" L20" W2.5" D, 8" x 4.75", Inflatable
Therm-a-Rest NeoAir All Season - Regular, $149.95, 539 gm19.0 oz1.19 lb, R 4.9, 72" L20" W2.5" D, 8" x 4.75", Inflatable
Therm-a-Rest NeoAir All Season - Large, $169.95, 709 gm25.0 oz1.56 lb, R 4.9, 77" L25" W2.5" D, 11" x 4.8", Inflatable
Therm-a-Rest NeoAir Trekker - Short, $99.95, 454 gm16.0 oz1.00 lb, R 2, 47" L25" W2.5" D, 11" x 3.5", Inflatable
Therm-a-Rest NeoAir Trekker - Regular, $119.95, 567 gm20.0 oz1.25 lb, R 2, 72" L20" W2.5" D, 9" x 4", Inflatable
Therm-a-Rest NeoAir Trekker - Large, $139.95, 737 gm26.0 oz1.63 lb, R 2, 77" L25" W2.5" D, 11" x 4.5", Inflatable
Therm-a-Rest TrailPro - Regular, $89.95, 907 gm32.0 oz2.00 lb, R 4.8, 72" L20" W2" D, 11" x 7", Self Inflating Foam
Therm-a-Rest TrailPro - Large, $99.95, 1247 gm44.0 oz2.75 lb, R 4.8, 77" L25" W2" D, 13" x 7", Self Inflating Foam
Therm-a-Rest Women's TrailPro, $84.95, 907 gm32.0 oz2.00 lb, R 5.1, 66" L20" W2" D, 11" x 7", Self Inflating Foam
Therm-a-Rest Trail Lite - Regular, $69.95, 794 gm28.0 oz1.75 lb, R 3.4, 72" L20" W1.5" D, 11" x 7", Self Inflating Foam
Therm-a-Rest Trail Lite - Large, $79.95, 1106 gm39.0 oz2.44 lb, R 3.4, 77" L25" W1.5" D, 13" x 7", Self Inflating Foam
Therm-a-Rest Women's Trail Lite, $64.95, 794 gm28.0 oz1.75 lb, R 4.9, 66" L20" W1.5" D, 11" x 7", Self Inflating Foam
Therm-a-Rest Trail Scout - Small, $39.95, 425 gm15.0 oz0.94 lb, R 3.7, 47" L20" W1.25" D, 11" x 4", Self Inflating Foam
Therm-a-Rest Trail Scout - Medium, $44.95, 624 gm22.0 oz1.38 lb, R 3.7, 66" L20" W1.25" D, 11" x 6", Self Inflating Foam
Therm-a-Rest Trail Scout - Regular, $49.95, 680 gm24.0 oz1.50 lb, R 3.7, 72" L20" W1.25" D, 11" x 6", Self Inflating Foam
Therm-a-Rest Trail Scout - Large, $59.95, 907 gm32.0 oz2.00 lb, R 3.7, 77" L25" W1.25" D, 13" x 6", Self Inflating Foam
Therm-a-Rest Ridge Rest SoLite - Small, $19.95, 255 gm9.0 oz0.56 lb, R 2.8, 48" L20" W.63" D, 20" x 6.5", Closed Cell Foam
Therm-a-Rest Ridge Rest SoLite - Regular, $29.95, 397 gm14.0 oz0.88 lb, R 2.8, 72" L20" W.63" D, 20" x 8", Closed Cell Foam
Therm-a-Rest Ridge Rest SoLite - Large, $39.95, 539 gm19.0 oz1.19 lb, R 2.8, 77" L25" W.63" D, 25" x 8.5", Closed Cell Foam
Therm-a-Rest DreamTime - Large, $189.95, 3005 gm106.0 oz6.63 lb, R 9, 77" L25" W3.5" D, 25" x 11", Self Inflating Foam
Therm-a-Rest DreamTime - Extra Large, $209.95, 3600 gm127.0 oz7.94 lb, R 9, 77" L30" W3.5" D, 30" x 11", Self Inflating Foam
Therm-a-Rest Luxury Map - Regular, $99.95, 1559 gm55.0 oz3.44 lb, R 6.8, 72" L20" W3" D, 21" x 5.4", Self Inflating Foam
Therm-a-Rest BaseCamp - Large, $79.95, 1588 gm56.0 oz3.50 lb, R 5, 77" L25" W2" D, 26" x 5.1", Self Inflating Foam
Therm-a-Rest BaseCamp - Regular, $69.95, 1162 gm41.0 oz2.56 lb, R 5, 72" L20" W2" D, 21" x 4.8", Self Inflating Foam
Therm-a-Rest Luxury Map - Large, $129.95, 2041 gm72.0 oz4.50 lb, R 6.8, 77" L25" W3" D, 26" x 5.6", Self Inflating Foam
Therm-a-Rest Luxury Map - Extra Large, $149.95, 2466 gm87.0 oz5.44 lb, R 6.8, 77" L30" W3" D, 30" x 5.6", Self Inflating Foam
Therm-a-Rest BaseCamp - Extra Large, $99.95, 1814 gm64.0 oz4.00 lb, R 5, 77" L30" W2" D, 30" x 5.1", Self Inflating Foam
Therm-a-Rest Ridge Rest Solar - Regular, $39.95, 539 gm19.0 oz1.19 lb, R 3.5, 72" L20" W.75" D, 20" x 8.6", Closed Cell Foam
Therm-a-Rest Ridge Rest Solar - Large, $54.95, 737 gm26.0 oz1.63 lb, R 3.5, 77" L25" W.75" D, 25" x 9.3", Closed Cell Foam
Stoic LTWT - Regular, $79.00, 652 gm23.0 oz1.44 lb, R 2.9, 74" L20" W1.5" D, 11" x 4.75", Self Inflating Foam
