Gregory Z 55 (LG.) (2013), , $239.00, 1899 gm 67.0 oz 4.19 lb, 3722 cu. in.61 liters, ~1-40 lbs, Internal Frame
Gregory Z 45 (SM.) , , $219.00, 1701 gm 60.0 oz 3.75 lb, 2563 cu. in.42 liters, ~1-40 lbs, Internal Frame
Gregory Z 45 (MD.), , $219.00, 1758 gm 62.0 oz 3.88 lb, 2807 cu. in.46 liters, ~1-40 lbs, Internal Frame
Gregory Z 45 (LG.), , $219.00, 1843 gm 65.0 oz 4.06 lb, 3051 cu. in.50 liters, ~1-40 lbs, Internal Frame
Gregory Denali Pro 105 (SM.), , $549.00, 3402 gm 120.0 oz 7.50 lb, 6102 cu. in.100 liters, ~1-60 lbs, Internal Frame
Gregory Denali Pro 105 (MD.), , $549.00, 3515 gm 124.0 oz 7.75 lb, 6469 cu. in.106 liters, ~1-60 lbs, Internal Frame
Gregory Denali Pro 105 (LG.), , $549.00, 3629 gm 128.0 oz 8.00 lb, 7018 cu. in.115 liters, ~1-60 lbs, Internal Frame
Gregory Savant 58 (SM.), , $199.00, 1474 gm 52.0 oz 3.25 lb, 3295 cu. in.54 liters, ~1-35 lbs, Internal Frame
Gregory Savant 58 (MD.), , $199.00, 1616 gm 57.0 oz 3.56 lb, 3539 cu. in.58 liters, ~1-35 lbs, Internal Frame
Gregory Savant 58 (LG.), , $199.00, 1758 gm 62.0 oz 3.88 lb, 3783 cu. in.62 liters, ~1-35 lbs, Internal Frame
Gregory Savant 38 (SM.), , $179.00, 1304 gm 46.0 oz 2.88 lb, 2075 cu. in.34 liters, ~1-30 lbs, Internal Frame
Gregory Savant 38 (MD.), , $179.00, 1417 gm 50.0 oz 3.13 lb, 2319 cu. in.38 liters, ~1-30 lbs, Internal Frame
Gregory Savant 38 (LG.), , $179.00, 1616 gm 57.0 oz 3.56 lb, 2563 cu. in.42 liters, ~1-30 lbs, Internal Frame
Gregory Savant 48 (SM.), , $249.00, 1417 gm 50.0 oz 3.13 lb, 2685 cu. in.44 liters, ~1-30 lbs, Internal Frame
Gregory Savant 48 (MD.), , $249.00, 1503 gm 53.0 oz 3.31 lb, 2929 cu. in.48 liters, ~1-30 lbs, Internal Frame
Gregory Savant 48 (LG.), , $249.00, 1644 gm 58.0 oz 3.63 lb, 3173 cu. in.52 liters, ~1-30 lbs, Internal Frame
Gregory Z 65 (SM.) (2014), , $229.00, 1446 gm 51.0 oz 3.19 lb, 3845 cu. in.63 liters, ~1-40 lbs, Internal Frame
Gregory Z 65 (MD.) (2014), , $229.00, 1531 gm 54.0 oz 3.38 lb, 3967 cu. in.65 liters, ~1-40 lbs, Internal Frame
Gregory Z 65 (LG.) (2014), , $229.00, 1616 gm 57.0 oz 3.56 lb, 4089 cu. in.67 liters, ~1-40 lbs, Internal Frame
Gregory Z 55 (SM.) (2014), , $199.00, 1389 gm 49.0 oz 3.06 lb, 3234 cu. in.53 liters, ~1-40 lbs, Internal Frame
Gregory Z 55 (MD.) (2014), , $199.00, 1474 gm 52.0 oz 3.25 lb, 3356 cu. in.55 liters, ~1-40 lbs, Internal Frame
Gregory Z 55 (LG.) (2014), , $199.00, 1559 gm 55.0 oz 3.44 lb, 3478 cu. in.57 liters, ~1-40 lbs, Internal Frame
Gregory Z 40 (SM.) (2014), , $179.00, 1219 gm 43.0 oz 2.69 lb, 2319 cu. in.38 liters, ~1-35 lbs, Internal Frame
Gregory Z 40 (MD.) (2014), , $179.00, 1304 gm 46.0 oz 2.88 lb, 2441 cu. in.40 liters, ~1-35 lbs, Internal Frame
Gregory Z 40 (LG.) (2014), , $179.00, 1389 gm 49.0 oz 3.06 lb, 2563 cu. in.42 liters, ~1-35 lbs, Internal Frame
Gregory Miwok 44 (MD.) (2014), , $169.00, 1247 gm 44.0 oz 2.75 lb, 2685 cu. in.44 liters, ~1-30 lbs, Internal Frame
Gregory Miwok 44 (LG.) (2014), , $169.00, 1332 gm 47.0 oz 2.94 lb, 2929 cu. in.48 liters, ~1-30 lbs, Internal Frame
Jansport Klamath 55, , $155.00, 2070 gm 73.0 oz 4.56 lb, 3480 cu. in.57 liters, ~1-1 lbs, Internal Frame
Jansport Klamath 65, , $165.00, 2126 gm 75.0 oz 4.69 lb, 4090 cu. in.67 liters, ~1-1 lbs, Internal Frame
Jansport Klamath 75, , $175.00, 2183 gm 77.0 oz 4.81 lb, 4600 cu. in.75 liters, ~1-1 lbs, Internal Frame
Kelty PK 50 (S/M), , $199.95, 1417 gm 50.0 oz 3.12 lb, 3050 cu. in.50 liters, ~1-1 lbs, Internal Frame
Kelty PK 50 (M/L), , $199.95, 1446 gm 51.0 oz 3.19 lb, 3175 cu. in.52 liters, ~1-1 lbs, Internal Frame
Kelty Coyote 80 (S/M), , $209.95, 2353 gm 83.0 oz 5.19 lb, 4700 cu. in.77 liters, ~1-1 lbs, Internal Frame
Kelty Coyote 80 (M/L), , $209.95, 2410 gm 85.0 oz 5.31 lb, 4900 cu. in.80 liters, ~1-1 lbs, Internal Frame
Kelty Pawnee 55 (S/M), , $169.95, 1588 gm 56.0 oz 3.50 lb, 3100 cu. in.52 liters, ~1-1 lbs, Internal Frame
Kelty Pawnee 55 (M/L), , $169.95, 1616 gm 57.0 oz 3.56 lb, 3300 cu. in.54 liters, ~1-1 lbs, Internal Frame
Kelty Red Cloud 110, , $239.95, 2637 gm 93.0 oz 5.81 lb, 6590 cu. in.108 liters, ~1-1 lbs, Internal Frame
Kelty Red Cloud 90 (S/M), , $224.95, 2523 gm 89.0 oz 5.56 lb, 5300 cu. in.87 liters, ~1-1 lbs, Internal Frame
Kelty Red Cloud 90 (M/L), , $224.95, 2551 gm 90.0 oz 5.63 lb, 5500 cu. in.90 liters, ~1-1 lbs, Internal Frame
Kelty Lakota 65 (S/M), , $179.95, 1644 gm 58.0 oz 3.63 lb, 3900 cu. in.64 liters, ~1-1 lbs, Internal Frame
Kelty Lakota 65 (M/L), , $179.95, 1701 gm 60.0 oz 3.75 lb, 4000 cu. in.66 liters, ~1-1 lbs, Internal Frame
Kelty Pawnee 40 (S/M), , $149.94, 1417 gm 50.0 oz 3.13 lb, 2300 cu. in.38 liters, ~1-1 lbs, Internal Frame
Kelty Pawnee 40 (M/L), , $149.94, 1474 gm 52.0 oz 3.25 lb, 2500 cu. in.41 liters, ~1-1 lbs, Internal Frame
Kelty Flyaway 43, , $134.95, 1531 gm 54.0 oz 3.38 lb, 2600 cu. in.43 liters, ~1-1 lbs, Internal Frame
Kelty Redwing 44, , $114.95, 1446 gm 51.0 oz 3.19 lb, 2700 cu. in.44 liters, ~1-1 lbs, Internal Frame
Kelty Redwing 50 (S/M), , $124.95, 1446 gm 51.0 oz 3.19 lb, 3000 cu. in.49 liters, ~1-1 lbs, Internal Frame
Kelty Redwing 50 (M/L), , $124.95, 1503 gm 53.0 oz 3.31 lb, 3100 cu. in.52 liters, ~1-1 lbs, Internal Frame
Kelty Cache Hauler 3400, , $249.95, 4139 gm 146.0 oz 9.13 lb, 3450 cu. in.57 liters, ~1-1 lbs, External Frame
