Marmot Cloudbreak 30 (Regular), $169.00, 900 gm 31.7 oz 1.98 lb, 30 F-1 C, Synth, 60", 16" x 7.5", Regular: Fits up to 6'
Marmot Cloudbreak 30 (Long), $179.00, 1021 gm 36.0 oz 2.25 lb, 30 F-1 C, Synth, 62", 16" x 7.5", Long: Fits up to 6'6"
Marmot Rockaway 20 (Regular), $139.00, 1729 gm 61.0 oz 3.81 lb, 20 F-7 C, Synth, 67", 19" x 9.5", Regular: Fits up to 6'
Marmot Rockaway 20 (Long), $149.00, 1956 gm 69.0 oz 4.31 lb, 20 F-7 C, Synth, 68", 19" x 9.5", Long: Fits up to 6'6"
Marmot Rockaway 35 (Regular), $119.00, 1531 gm 54.0 oz 3.38 lb, 35 F2 C, Synth, 67", 8.5" x 8.5", Regular: Fits up to 6'
Marmot Rockaway 35 (Long), $129.00, 1616 gm 57.0 oz 3.56 lb, 35 F2 C, Synth, 69", 8.5" x 8.5", Long: Fits up to 6'6"
Marmot Trestles 15 (Regular), $109.00, 1765 gm 62.3 oz 3.89 lb, 15 F-9 C, Synth, 62", 19" x 10.5", Regular: Fits up to 6'
Marmot Trestles 15 (Long), $119.00, 1814 gm 64.0 oz 4.00 lb, 15 F-9 C, Synth, 64", 19" x 10.5", Long: Fits up to 6'6"
Marmot Mavericks 20 (Regular), $109.00, 1588 gm 56.0 oz 3.50 lb, 20 F-6.66 C, Synth, 60", 19" x 9.5", Regular: Fits up to 6'
Marmot Mavericks 20 (Long), $109.00, 1899 gm 67.0 oz 4.19 lb, 20 F-6.66 C, Synth, 62", 19" x 9.5", Long: Fits up to 6'6"
Marmot Trestles 30 (Regular), $99.00, 1446 gm 51.0 oz 3.19 lb, 30 F-1 C, Synth, 62", 18" x 8.5", Regular: Fits up to 6'
Marmot Trestles 30 (Long), $109.00, 1559 gm 55.0 oz 3.44 lb, 30 F-1 C, Synth, 64", 18" x 8.5", Long: Fits up to 6'6"
Marmot Mavericks 30 (Regular), $99.00, 1446 gm 51.0 oz 3.19 lb, 30 F-1 C, Synth, 60", 19" x 9.5", Regular: Fits up to 6'
Marmot Mavericks 30 (Long), $109.00, 1786 gm 63.0 oz 3.94 lb, 30 F-1 C, Synth, 62", 19" x 9.5", Long: Fits up to 6'6"
Montbell U.L. Super Spiral Down Hugger #1 (Regular), $399.00, 1049 gm 37.0 oz 2.31 lb, 15 F-9 C, 800 Down, 75", 14" x 7.1", Regular: Fits up to 6'
Montbell U.L. Super Spiral Down Hugger #1 (Long), $429.00, 1134 gm 40.0 oz 2.50 lb, 15 F-9 C, 800 Down, 81", 14" x 7.1", Long: Fits up to 6'6"
Montbell U.L. Super Spiral Down Hugger #1 (Short), $389.00, 992 gm 35.0 oz 2.19 lb, 15 F-9 C, 800 Down, 75", 14" x 7.1", Short: Fits up to 5'6"
Montbell U.L. Super Spiral Down Hugger #3 (Regular), $299.00, 624 gm 22.0 oz 1.38 lb, 30 F-1 C, 800 Down, 75", 11" x 5.5", Regular: Fits up to 6'
Montbell U.L. Super Spiral Down Hugger #3 (Long), $329.00, 709 gm 25.0 oz 1.56 lb, 30 F-1 C, 800 Down, 81", 11.7" x 6", Long: Fits up to 6'6"
Montbell U.L. Spiral Down Hugger #1 (Regular), $359.00, 964 gm 34.0 oz 2.13 lb, 15 F-9 C, 800 Down, 68", 13.3" x 6.7", Regular: Fits up to 5'10"
Montbell U.L. Spiral Down Hugger #1 (Long), $389.00, 1049 gm 37.0 oz 2.31 lb, 15 F-9 C, 800 Down, 74", 13.3" x 6.7", Long: Fits up to 6'4"
Montbell U.L. Spiral Down Hugger #3 (Regular), $259.00, 567 gm 20.0 oz 1.25 lb, 30 F-1 C, 800 Down, 68", 10.1" x 5.1", Regular: Fits up to 5'10"
Montbell U.L. Spiral Down Hugger #3 (Long), $289.00, 652 gm 23.0 oz 1.44 lb, 30 F-1 C, 800 Down, 74", 11" x 5.5", Long: Fits up to 6'4"
