Kelty Shrike 30, , $89.95, 936 gm 33.0 oz 2.06 lb, 1850 cu. in.30 liters, ~1-1 lbs
Lowe Alpine Eclipse 15 (2014), , $99.95, 680 gm 24.0 oz 1.50 lb, 915 cu. in.15 liters, ~1-1 lbs
Lowe Alpine Eclipse 35 (2014), , $129.95, 808 gm 28.5 oz 1.78 lb, 2135 cu. in.35 liters, ~1-1 lbs
Lowe Alpine Eclipse 25 (2014), , $114.95, 768 gm 27.1 oz 1.69 lb, 1525 cu. in.25 liters, ~1-1 lbs
Lowe Alpine Strike 24, , $79.95, 624 gm 22.0 oz 1.38 lb, 1465 cu. in.24 liters, ~1-1 lbs
Lowe Alpine AirZone 35, , $124.95, 1162 gm 41.0 oz 2.56 lb, 2135 cu. in.35 liters, ~1-22 lbs
Lowe Alpine AirZone Trek 35, , $159.95, 1361 gm 48.0 oz 3.00 lb, 2135 cu. in.35 liters, ~1-29 lbs
Marmot Kompressor (2014) , , $50.00, 310 gm 10.9 oz 0.68 lb, 1100 cu. in.18 liters, ~1-1 lbs
Marmot Kompressor Plus (2014), , $55.00, 348 gm 12.3 oz 0.77 lb, 1220 cu. in.20 liters, ~1-1 lbs
Marmot Ultra Kompressor (2014), , $89.00, 614 gm 21.7 oz 1.35 lb, 1350 cu. in.22 liters, ~1-1 lbs
Marmot Kompressor Verve 26 (2014), , $109.00, 770 gm 27.2 oz 1.70 lb, 1587 cu. in.26 liters, ~1-1 lbs
Marmot Apollo 25 (2014), , $99.00, 870 gm 30.7 oz 1.92 lb, 1525 cu. in.25 liters, ~1-1 lbs
Marmot Ledge (2014), , $109.00, 876 gm 30.9 oz 1.93 lb, 1725 cu. in.28 liters, ~1-1 lbs
Marmot Scree (2014), , $99.00, 772 gm 27.2 oz 1.70 lb, 1350 cu. in.22 liters, ~1-1 lbs
Marmot Kompressor Verve 32 (2014), , $149.00, 1030 gm 36.3 oz 2.27 lb, 1953 cu. in.32 liters, ~1-1 lbs
Marmot Cam (2014), , $89.00, 695 gm 24.5 oz 1.53 lb, 920 cu. in.15 liters, ~1-1 lbs
Marmot Apollo 35 (2014), , $139.00, 1320 gm 46.6 oz 2.91 lb, 2135 cu. in.35 liters, ~1-1 lbs
Marmot Inter Hauler (2014), , $119.00, 722 gm 25.5 oz 1.59 lb, 1098 cu. in.18 liters, ~1-1 lbs
Marmot Sphinx 20 (2014), , $109.00, 730 gm 25.7 oz 1.61 lb, 1220 cu. in.20 liters, ~1-1 lbs
Marmot Drakon 35 (2014), , $159.00, 1162 gm 41.0 oz 2.56 lb, 2150 cu. in.35 liters, ~1-1 lbs
Marmot Odin 35 (MD.) (2014), , $139.00, 1588 gm 56.0 oz 3.50 lb, 2150 cu. in.35 liters, ~1-1 lbs
Marmot Odin 35 (LG.) (2014), , $139.00, 1644 gm 58.0 oz 3.62 lb, 2300 cu. in.38 liters, ~1-1 lbs
MHM Incline 18, , $129.00, 680 gm 24.0 oz 1.50 lb, 1098 cu. in.18 liters, ~1-1 lbs
MHM Salute 34, , $215.00, 1588 gm 56.0 oz 3.50 lb, 2075 cu. in.34 liters, ~1-1 lbs
MontBell Balance Light 20, , $48.00, 448 gm 15.8 oz 0.99 lb, 1220 cu. in.20 liters, ~1-1 lbs
MontBell Versalite Pack 20, , $52.00, 369 gm 13.0 oz 0.81 lb, 1220 cu. in.20 liters, ~1-1 lbs
MontBell Cross Runner Pack 7, , $69.00, 417 gm 14.7 oz 0.92 lb, 427 cu. in.7 liters, ~1-1 lbs
